,Track_Id,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Date
783,11783,Fuego,Cereza,Supremo,album,0.763,0.579,7.0,-6.968,0.0965,0.134,0.0,0.102,0.185,146.015,163693.0,"Fuego, Duki - Cereza",FuegoVEVO,24549268.0,281796.0,7285.0,True,True,28212643.0,2023-04-28
784,11784,Fuego,Sigo Fresh,You're Welcome,album,0.729,0.54,5.0,-6.826,0.057,0.495,0.0,0.0746,0.544,126.987,189333.0,"Fuego, Duki - Sigo Fresh",FuegoVEVO,49993659.0,423818.0,11068.0,True,True,37800145.0,2020-05-15
785,11785,Fuego,Una Vaina Loca (feat. El Potro Alvarez),La Musica Del Futuro Reloaded (Chosen Few Edition),album,0.794,0.674,1.0,-12.821,0.0524,0.123,0.0,0.0951,0.726,117.05,261987.0,Fuego - Una Vaina Loca Ft. El Potro Alvarez [Official Video],Fuego,13173364.0,50879.0,2150.0,True,True,41088037.0,2012-11-20
786,11786,Fuego,Café,Café,single,0.907,0.546,5.0,-4.768,0.315,0.041,4.01e-05,0.11,0.488,142.945,219056.0,DUKI x Fuego - CAFÉ - ft. Luyo (Video Oficial),Duki,8371488.0,218619.0,11969.0,True,True,10408080.0,2011
787,11787,Fuego,Una Vaina Loca (R3HAB Remix),Una Vaina Loca (R3HAB Remix),single,0.69,0.782,8.0,-4.369,0.144,0.0951,0.0,0.0916,0.555,115.018,177391.0,"Una Vaina Loca R3HAB Remix - Fuego, R3HAB, Duki  FT. Manuel Turizo (Visualizer)",Fuego,81814.0,2918.0,93.0,False,True,1998539.0,2022-04-29
788,11788,Bas,l e t . g o . m y . h a n d (with Bas & 6LACK),The Off-Season,album,0.583,0.625,1.0,-8.011,0.277,0.506,0.0,0.196,0.516,89.812,266291.0,"J. Cole - l e t . g o . m y . h a n d  feat. Bas, 6LACK (Official Audio)",J. Cole,9900298.0,175435.0,8037.0,False,True,83109952.0,
789,11789,Bas,Tribe (with J. Cole),Milky Way,album,0.755,0.594,7.0,-5.906,0.216,0.241,0.0,0.107,0.237,178.929,238053.0,Bas - Tribe with J.Cole,BasVEVO,74404655.0,712192.0,18649.0,True,True,197621714.0,2018-08-24
790,11790,Bas,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Revenge Of The Dreamers III,album,0.642,0.647,7.0,-6.312,0.428,0.517,0.0,0.0649,0.664,120.749,217867.0,"Dreamville - Costa Rica ft. Bas, JID, and more (Official Audio)",Dreamville,12044310.0,177178.0,8117.0,False,True,180794240.0,
791,11791,Bas,[The Jackie] (with J. Cole & Lil Tjay),[BUMP] Pick Me Up,single,0.784,0.473,8.0,-6.139,0.0523,0.33,0.0,0.278,0.635,128.014,204434.0,Bas - The Jackie (ft. J. Cole & Lil Tjay) [Official Video],BasVEVO,9112922.0,283602.0,12455.0,True,True,66191827.0,2022-04-15
792,11792,Bas,h u n g e r . o n . h i l l s i d e (with Bas),The Off-Season,album,0.563,0.703,2.0,-5.756,0.0702,0.126,0.0,0.213,0.294,94.983,238972.0,J. Cole - h u n g e r . o n . h i l l s i d e  feat. Bas (Official Audio),J. Cole,8115145.0,124593.0,6680.0,False,True,59437428.0,
